adi_threshold,cv2_threshold,score,separation,entropy,min_share,min_weighted_share,min_count_share,smooth_share,erratic_share,intermittent_share,lumpy_share,smooth_count_share,erratic_count_share,intermittent_count_share,lumpy_count_share,iteration
2.3636363636363638,1.0052652110512093,0.7165623072827848,0.6742351951489282,0.9564159427079726,0.125237788052699,0.125237788052699,0.12255924170616114,0.3621470482400293,0.2547317292662961,0.2578834344409746,0.125237788052699,0.3717535545023697,0.25364928909952605,0.25203791469194314,0.12255924170616114,11
2.5,0.9614426290683702,0.7138078471868871,0.6713105995647011,0.9546255837126081,0.1269815290624381,0.1269815290624381,0.12264240356364325,0.35846359740823686,0.2930110771406903,0.22154379638863486,0.1269815290624381,0.36878021040659653,0.29276845796606954,0.21580892806369065,0.12264240356364325,12
2.5,1.007247322523873,0.7136460128139832,0.6729399939304008,0.9443134531542833,0.116746869221689,0.116746869221689,0.11400682335102351,0.3866064784371225,0.2632481086475724,0.23339854369361457,0.116746869221689,0.3957543593631539,0.2639310083396513,0.22630780894617133,0.11400682335102351,13
2.5,1.0038432800971273,0.7108117940274089,0.6699083869062348,0.9425977677140623,0.11306722162134496,0.11306722162134496,0.10974222896133434,0.38522127375018106,0.26688741310082864,0.23482409152764455,0.11306722162134496,0.3955648218347233,0.266868840030326,0.22782410917361637,0.10974222896133434,14
2.3076923076923075,1.009234602758202,0.7141006638831786,0.6711206468745337,0.9576540935988335,0.1290263784560874,0.1290263784560874,0.12587677725118485,0.3646991533889679,0.250931331778776,0.25534313637616657,0.1290263784560874,0.3743127962085308,0.2509004739336493,0.24890995260663507,0.12587677725118485,15
2.5,1.0105649965917394,0.7106846709813088,0.6701257395981361,0.9405186154859535,0.11117613460544397,0.11117613460544397,0.10820541974606784,0.387655237464345,0.26885041803378434,0.23231820989642546,0.11117613460544397,0.39710062535531554,0.2689027856736782,0.22579116922493842,0.10820541974606784,16
2.5,1.006650895450099,0.70843110318697,0.6670425926397892,0.9429659962876614,0.11672812091159152,0.11672812091159152,0.11344896218367927,0.39018655241167505,0.26328070294505296,0.2298046237316789,0.11672812091159152,0.4011941996019335,0.26177613496351054,0.2235807032508767,0.11344896218367927,17
2.3333333333333335,1.015798899758582,0.7109354253968081,0.6674656133441086,0.9572643603621055,0.12859469191237843,0.12859469191237843,0.1262439579186807,0.36540242817739244,0.2513855866872359,0.25461729322299054,0.12859469191237843,0.37437209743152305,0.2499289166903611,0.24945502795943514,0.1262439579186807,18
2.3333333333333335,1.0097816069220773,0.710598687279054,0.6670692518300443,0.9572654881567758,0.1276722425097418,0.1276722425097418,0.1255805136953843,0.36364806678031114,0.25239866485437523,0.25628102585556956,0.1276722425097418,0.37190787603070796,0.2505923609136575,0.25191924936025023,0.1255805136953843,19
2.5,1.0115245658073757,0.71699817037603,0.6777059297650815,0.9396542005047384,0.11041130114116628,0.11041130114116628,0.10737300985595148,0.3886725244862064,0.26958134892176255,0.23133482545086284,0.11041130114116628,0.3975549658832449,0.2696171341925701,0.22545489006823352,0.10737300985595148,20
2.3333333333333335,1.004327003199689,0.7125616867481298,0.669114991910494,0.9587596241614,0.13031332232882273,0.13031332232882273,0.12785517960382903,0.3627438029536633,0.24971027911528926,0.25723259560222356,0.13031332232882273,0.3708653208226708,0.24945502795943514,0.251824471614065,0.12785517960382903,21
