branch,branch_name,region,top_peer_branch,origin_month,last_quantity,quantity_lag1_from_origin,quantity_lag2_from_origin,quantity_lag3_from_origin,quantity_lag6_from_origin,quantity_lag12_from_origin,quantity_lag1_available,quantity_lag2_available,quantity_lag3_available,quantity_lag6_available,quantity_lag12_available,rolling_mean_3_asof_origin,rolling_mean_6_asof_origin,rolling_std_3_asof_origin,rolling_std_6_asof_origin,ewm_3_asof_origin,recent_growth_3m,region_ex_self_lag0,region_ex_self_lag1,region_ex_self_lag2,region_ex_self_lag3,system_ex_self_lag0,system_ex_self_lag1,active_base_skus_asof_origin,top5_abs_share_asof_origin,sku_hhi_asof_origin,top_peer_last_quantity,top_peer_lag1_quantity,target_month,horizon,target_quantity,seasonal_naive,trend_index,gg_trends_lag1,flag_mua_mua,ty_trong_chay_tet,ty_trong_thang_gieng,ty_trong_thang_co_hon,ty_trong_thanh_minh,target_month_number,target_month_sin,target_month_cos
063,Chi nhánh Cà Mau Unimax,Tây Nam Bộ,079,2024-01-01,10887.34,,,,,,0,0,0,0,0,10887.34,10887.34,,,10887.34,,97933.21,,,,329676.67,,168.0,0.161328662464844,0.0163119315930636,4338.3,,2024-02-01,1,3564.9,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
064,Chi nhánh Bình Thuận Unimax,Tây Nguyên,049,2024-01-01,4220.23,,,,,,0,0,0,0,0,4220.23,4220.23,,,4220.23,,61780.25,,,,336343.78,,80.0,0.362094009094291,0.0423237500616257,5610.99,,2024-02-01,1,2832.16,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
065,Chi nhánh Cần Thơ Unimax,Tây Nam Bộ,079,2024-01-01,6822.0,,,,,,0,0,0,0,0,6822.0,6822.0,,,6822.0,,101998.55,,,,333742.01,,113.0,0.296015831134564,0.0334409672313202,4338.3,,2024-02-01,1,2950.27,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
067,Chi nhánh Đắk Lắk Unimax,Tây Nguyên,079,2024-01-01,2594.85,,,,,,0,0,0,0,0,2594.85,2594.85,,,2594.85,,63405.63,,,,337969.16000000003,,52.0,0.395259841609342,0.049833320580013,4338.3,,2024-02-01,1,215.75,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
069,Chi nhánh Vĩnh Long Unimax,Tây Nam Bộ,015,2024-01-01,9200.19999999999,,,,,,0,0,0,0,0,9200.19999999999,9200.19999999999,,,9200.19999999999,,99620.35,,,,331363.81,,156.0,0.210582378643943,0.0194465240620699,11094.57,,2024-02-01,1,6925.11000000001,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
070,Chi nhánh Gia Lai Unimax,Tây Nguyên,067,2024-01-01,3478.65,,,,,,0,0,0,0,0,3478.65,3478.65,,,3478.65,,62521.829999999994,,,,337085.36,,57.0,0.4647895016745,0.0597174500119946,2594.85,,2024-02-01,1,1147.48,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
071,Chi nhánh Khánh Hòa Unimax,Tây Nguyên,049,2024-01-01,6362.23,,,,,,0,0,0,0,0,6362.23,6362.23,,,6362.23,,59638.25,,,,334201.78,,105.0,0.291861501391808,0.0343029871223241,5610.99,,2024-02-01,1,4934.49,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
072,Chi nhánh Quảng Ngãi Unimax,Tây Nguyên,014,2024-01-01,8783.03,,,,,,0,0,0,0,0,8783.03,8783.03,,,8783.03,,57217.45,,,,331780.98,,86.0,0.427927491993082,0.0556634724603536,7389.41,,2024-02-01,1,10020.93,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
073,Chi nhánh Tiền Giang Unimax,Tây Nam Bộ,081,2024-01-01,9201.11999999999,,,,,,0,0,0,0,0,9201.11999999999,9201.11999999999,,,9201.11999999999,,99619.43000000001,,,,331362.89,,155.0,0.255342827829656,0.0250023236714422,5237.1,,2024-02-01,1,10853.56,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
076,Chi nhánh HCM Unimax,Đông Nam Bộ,002,2024-01-01,7103.47,,,,,,0,0,0,0,0,7103.47,7103.47,,,7103.47,,59800.47,,,,333460.54000000004,,157.0,0.214602159226406,0.0197418895759357,4696.74,,2024-02-01,1,1855.95,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
079,Chi nhánh Lâm Đồng Unimax,Tây Nguyên,067,2024-01-01,4338.3,,,,,,0,0,0,0,0,4338.3,4338.3,,,4338.3,,61662.17999999999,,,,336225.71,,84.0,0.469529539220432,0.070656349003432,2594.85,,2024-02-01,1,1681.28,,2.0,21.75,0.0,0.310345,0.689655,0.0,0.0,2,0.8660254037844386,0.5000000000000001
